CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
U99999DL1969GAP005106,INDIAN SUGAR EXIM CORPORATION LTD.,Active,RoC-Delhi,5106,Company Limited by Guarantee,Guarantee and Association company,Public,08 August 1969,"52 years, 7 month, 16 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",102
U99999DL1970PTC005258,NATIONAL STEEL AND GENERAL MILLS PRIVATE LIMITED,Active,RoC-Delhi,5258,Company limited by Shares,Non-govt company,Private,04 April 1970,"51 years, 11 month, 20 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",2
U99999DL1971NPL005814,PUNJAB RESEARCH INSTITUTE PRIVATE LIMITED (SECTION-25 COMPANY),Active,RoC-Delhi,5814,Company Limited by Guarantee,Non-govt company,Private,25 September 1971,"50 years, 5 month, 29 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",7
U99999DL1971PTC010364,RECKON FASTENERS PVT. LTD.,Active,RoC-Delhi,10364,Company limited by Shares,Non-govt company,Private,10 December 1971,"50 years, 3 month, 14 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1972PTC318242,INBREW BEVERAGES PRIVATE LIMITED,Active,RoC-Delhi,318242,Company limited by Shares,Non-govt company,Private,31 October 1972,"49 years, 4 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1973PTC006861,KOOLCROWN CORKS PVT LTD,Active,RoC-Delhi,6861,Company limited by Shares,Non-govt company,Private,22 September 1973,"48 years, 6 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1974PTC007062,EASTERN DECORATORS (DELHI) PVT LTD,Active,RoC-Delhi,7062,Company limited by Shares,Non-govt company,Private,30 January 1974,"48 years, 1 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1974PTC007428,SKYLARK ASSOCIATES PVT LTD,Active,RoC-Delhi,7428,Company limited by Shares,Non-govt company,Private,30 August 1974,"47 years, 6 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1975PLC190099,ANFILCO LIMITED,Active,RoC-Delhi,190099,Company limited by Shares,Non-govt company,Public,27 March 1975,"46 years, 11 month, 28 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1975PTC007997,DUGAL PROPERTIES PVT LTD,Active,RoC-Delhi,7997,Company limited by Shares,Non-govt company,Private,29 November 1975,"46 years, 3 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1975PTC008009,GREEN PROPERTIES INDIA PVT LTD,Active,RoC-Delhi,8009,Company Limited by Guarantee,Non-govt company,Private,12 December 1975,"46 years, 3 month, 12 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1976PTC008078,JSISA TYRES PVT LTD,Active,RoC-Delhi,8078,Company limited by Shares,Non-govt company,Private,12 February 1976,"46 years, 1 month, 12 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1976PTC008293,S N BHATIA AND CO PRIVATE LIMITED,Active,RoC-Delhi,8293,Company limited by Shares,Non-govt company,Private,07 August 1976,"45 years, 7 month, 17 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1978PTC008855,ARVIND TECHNO ENGINEERS PRIVATE LIMITED,Active,RoC-Delhi,8855,Company limited by Shares,Non-govt company,Private,30 January 1978,"44 years, 1 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1978PTC064996,STERIPLATE PVT LTD.,Active,RoC-Delhi,64996,Company limited by Shares,Non-govt company,Private,27 November 1978,"43 years, 3 month, 27 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1979PTC009393,AMARPREET ENTERPRISES PVT LTD,Active,RoC-Delhi,9393,Company limited by Shares,Non-govt company,Private,06 January 1979,"43 years, 2 month, 18 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1979PTC009752,PRAGATI PAPER MILLS PRIVATE LIMITED,Active,RoC-Delhi,9752,Company limited by Shares,Non-govt company,Private,19 July 1979,"42 years, 8 month, 5 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1979PTC009960,HOOVAR SERVICES PVT LTD,Active,RoC-Delhi,9960,Company limited by Shares,Non-govt company,Private,27 October 1979,"42 years, 4 month, 28 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010323,R K ELECTRICAL INDUSTRIES (INDIA) PRIVATE LIMITED,Active,RoC-Delhi,10323,Company limited by Shares,Non-govt company,Private,02 April 1980,"41 years, 11 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010372,AJIT POLYSTER (MATALLICA) PVT LTD,Active,RoC-Delhi,10372,Company limited by Shares,Non-govt company,Private,18 April 1980,"41 years, 11 month, 6 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010406,QUTAB COMMERCIAL BUILDERS PVT LTD,Active,RoC-Delhi,10406,Company limited by Shares,Non-govt company,Private,05 May 1980,"41 years, 10 month, 19 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010547,QUALIMAX ELECTRONICS PVT. LTD.,Active,RoC-Delhi,10547,Company limited by Shares,Non-govt company,Private,16 June 1980,"41 years, 9 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010604,KALRA PULP AND BOARD MILLS PVT LTD,Active,RoC-Delhi,10604,Company limited by Shares,Non-govt company,Private,05 July 1980,"41 years, 8 month, 19 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010969,POOJA PRESS AND PRAKASHAN PVT LTD,Active,RoC-Delhi,10969,Company limited by Shares,Non-govt company,Private,22 October 1980,"41 years, 5 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC010979,O K HOSIERY MILLS PVT LTD,Active,RoC-Delhi,10979,Company limited by Shares,Non-govt company,Private,24 October 1980,"41 years, 5 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC011066,A C T DEVELOPERS PVT LTD,Active,RoC-Delhi,11066,Company limited by Shares,Non-govt company,Private,24 November 1980,"41 years, 4 month, 0 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC011133,PRACHAND PUBLICATION PRIVATE LIMITED,Active,RoC-Delhi,11133,Company limited by Shares,Non-govt company,Private,12 December 1980,"41 years, 3 month, 12 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC038294,MULTI-TECH COMPUTERS PRIVATE LIMITED,Active,RoC-Delhi,38294,Company limited by Shares,Non-govt company,Private,10 October 1980,"41 years, 5 month, 14 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1980PTC181945,SIMPLEX ENGINEERING & FOUNDRY WORKS PRIVATE LIMITED,Active,RoC-Delhi,181945,Company limited by Shares,Non-govt company,Private,30 January 1980,"42 years, 1 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1981PTC011234,S B JUTE AND PLASTIC INDUSTRIES PVT LTD,Active,RoC-Delhi,11234,Company limited by Shares,Non-govt company,Private,08 January 1981,"41 years, 2 month, 16 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1981PTC012018,SOLAN SIMLA TRANSPORT COMPANY PRIVATE LIMITED,Active,RoC-Delhi,12018,Company limited by Shares,Non-govt company,Private,16 July 1981,"40 years, 8 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1981PTC012042,TWO GUYS PRIVATE LIMITED,Active,RoC-Delhi,12042,Company limited by Shares,Non-govt company,Private,21 July 1981,"40 years, 8 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1981PTC012146,ADAMS PAPER PRODUCTS PRIVATE LIMITED,Active,RoC-Delhi,12146,Company limited by Shares,Non-govt company,Private,11 August 1981,"40 years, 7 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1982GAT014419,RAJSPIN OFFICERS WELFARE FOUNDATION PRIVATE LIMITED.,Active,RoC-Delhi,14419,Company Limited by Guarantee,Guarantee and Association company,Private,30 September 1982,"39 years, 5 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",2
U99999DL1982PLC014161,A.E.C. INDIA LTD,Active,RoC-Delhi,14161,Company limited by Shares,Non-govt company,Public,09 August 1982,"39 years, 7 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1982PTC013127,ASIATIC EXPRESS PVT LTD,Under Process of Striking Off,RoC-Delhi,13127,Company limited by Shares,Non-govt company,Private,09 February 1982,"40 years, 1 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1982PTC013159,MAYUR FARMS PVT LTD,Active,RoC-Delhi,13159,Company limited by Shares,Non-govt company,Private,16 February 1982,"40 years, 1 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1982PTC013185,A K CONSTRUCTION MANUFACTURER PVT LTD,Active,RoC-Delhi,13185,Company limited by Shares,Non-govt company,Private,20 February 1982,"40 years, 1 month, 4 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1982PTC014566,KAROL BAGH BUILDERS PVT LTD,Active,RoC-Delhi,14566,Company limited by Shares,Non-govt company,Private,23 October 1982,"39 years, 5 month, 1 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1983NPL014987,AGA KHAN RURAL SUPPORT PROGRAMME (INDIA),Active,RoC-Delhi,14987,Company Limited by Guarantee,Non-govt company,Private,14 January 1983,"39 years, 2 month, 10 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",9
U99999DL1983PTC016730,THAPAR BUILDERS PVT LTD,Active,RoC-Delhi,16730,Company limited by Shares,Non-govt company,Private,11 October 1983,"38 years, 5 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1984PLC019680,EVEREST LEASING LTD.,Active,RoC-Delhi,19680,Company Limited by Guarantee,Non-govt company,Public,22 December 1984,"37 years, 3 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1984PLC163934,TM INVESTMENTS LIMITED,Active,RoC-Delhi,163934,Company limited by Shares,Non-govt company,Public,30 August 1984,"37 years, 6 month, 25 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1984PTC018227,RADHA IMPEX PVT LTD,Active,RoC-Delhi,18227,Company limited by Shares,Non-govt company,Private,29 May 1984,"37 years, 9 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1984PTC018793,SIYARAM SALES PRIVATE LIMITED,Active,RoC-Delhi,18793,Company limited by Shares,Non-govt company,Private,26 July 1984,"37 years, 7 month, 29 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1984PTC190597,ARMECH ENGINEERS PRIVATE LIMITED,Active,RoC-Delhi,190597,Company limited by Shares,Non-govt company,Private,17 September 1984,"37 years, 6 month, 7 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1985PLC020062,VTL (INDIA) LIMITED,Active,RoC-Delhi,20062,Company limited by Shares,Non-govt company,Public,05 February 1985,"37 years, 1 month, 19 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1985PLC020970,LIMITORQUE INDIA LIMITED,Active,RoC-Delhi,20970,Company limited by Shares,Non-govt company,Public,18 May 1985,"36 years, 10 month, 6 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1985PLC021492,ASHOKA INDUSTRIAL RESOURCES LIMITED,Active,RoC-Delhi,21492,Company limited by Shares,Non-govt company,Public,22 July 1985,"36 years, 8 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1985PLC022069,INDO DENENERGY LIMITED,Active,RoC-Delhi,22069,Company limited by Shares,Non-govt company,Public,19 September 1985,"36 years, 6 month, 5 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1985PTC020826,CHINTELS INDIA PRIVATE LIMITED,Active,RoC-Delhi,20826,Company limited by Shares,Non-govt company,Private,01 May 1985,"36 years, 10 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1986PTC272556,NMC CARBONIC INDUSTRIES PVT. LTD.,Active,RoC-Delhi,272556,Company limited by Shares,Non-govt company,Private,11 November 1986,"35 years, 4 month, 13 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC026850,RAJDHANI PAPER INDUSTRIES PRIVATE LIMITED,Active,RoC-Delhi,26850,Company limited by Shares,Non-govt company,Private,02 February 1987,"35 years, 1 month, 22 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC028032,KAMLA ENGINEERING PRIVATE LTD.,Active,RoC-Delhi,28032,Company limited by Shares,Non-govt company,Private,19 May 1987,"34 years, 10 month, 5 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC028080,AZAD PROCESSORS PRIVATE LTD.,Active,RoC-Delhi,28080,Company limited by Shares,Non-govt company,Private,22 May 1987,"34 years, 10 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC029213,VIKING ENGINEERS PRIVATE LTD.,Active,RoC-Delhi,29213,Company limited by Shares,Non-govt company,Private,15 September 1987,"34 years, 6 month, 9 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC029377,DYNAMIC HYDRO MACHINES PVT LTD,Active,RoC-Delhi,29377,Company limited by Shares,Non-govt company,Private,01 October 1987,"34 years, 5 month, 23 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999DL1987PTC029436,ANURAG VINYLE PRIVATE LIMITED,Active,RoC-Delhi,29436,Company limited by Shares,Non-govt company,Private,09 October 1987,"34 years, 5 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
