CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
L99999GJ1982PLC096012,ROBERT RESOURCES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,04-11-1982,Gujarat,102500000.0,102450000.0,99999.0,Extraterritorial organizations and bodies,"3rd FLOOR, PLOT NO 1067,OPP. BINDU NIVAS, KALIYABID ROAD  ",ROC AHMEDABAD,robertresourceslimited@gmail.com,31-03-2019,31-03-2019
L99999GJ1985PLC007868,GUJARAT INDUSTRIES POWER COMPANY LTD.   ,ACTV,Public,Company limited by Shares,Non-govt company,01-06-1985,Gujarat,3860000000.0,1512511880.0,99999.0,Extraterritorial organizations and bodies,"P O PETROCHEMICAL-391346,   ",ROC AHMEDABAD,ASTHAKKAR@GIPCL.COM,31-03-2019,31-03-2019
L99999GJ1985PLC011553,JAYBHARAT TEXTILES AND REAL ESTATELIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,21-02-1985,Gujarat,1500000000.0,765675000.0,99999.0,Extraterritorial organizations and bodies,VILLAGE SAVLAV N.H.NO.8TALUKA PARDI NEAR VAPI  ,ROC AHMEDABAD,info@jaybharat.net,31-03-2019,31-03-2019
L99999GJ1986PLC083614,MUNOTH CAPITAL MARKET LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,04-09-1986,Gujarat,90900000.0,44955000.0,99999.0,Extraterritorial organizations and bodies,"SHANTI NIVAS, OPP. SHAPATH - V,NR. KARNAVATI CLUB, S.G.ROAD,  ",ROC AHMEDABAD,munoth@gmail.com,31-03-2019,31-03-2019
L99999GJ1987PLC009768,20 MICRONS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,29-06-1987,Gujarat,300000000.0,176433000.0,99999.0,Extraterritorial organizations and bodies,"9-10, G.I.D.C. INDUSTRIAL ESTATE,WAGHODIA,  ",ROC AHMEDABAD,co_secretary@20microns.com,31-03-2019,31-03-2019
L99999GJ1987PLC022333,HESTER BIOSCIENCES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,29-04-1987,Gujarat,112000000.0,85068650.0,99999.0,Extraterritorial organizations and bodies,"1ST FLOOR, 'PUSHPAK',PANCHVATI CROSS ROAD, C.G. ROAD,  ",ROC AHMEDABAD,mail@hester.in,31-03-2019,31-03-2019
L99999GJ1989PLC012213,AREX INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,10-05-1989,Gujarat,50000000.0,39587000.0,99999.0,Extraterritorial organizations and bodies,"612,GIDC INDUSTRIAL ESTATE,CHHATRALTAL.KALOL  ",ROC AHMEDABAD,mail@arex.in,31-03-2019,31-03-2019
L99999GJ1989PTC058691,PATIDAR BUILDCON LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,16-05-1989,Gujarat,60000000.0,55005700.0,99999.0,Extraterritorial organizations and bodies,"Lati Bazar, JoravarnagarDist. - Surendranagar  ",ROC AHMEDABAD,patidarbuildconltd@rocketmail.com,31-03-2019,31-03-2019
L99999GJ1991PLC015974,HINA FIL INDIA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,16-07-1991,Gujarat,171000000.0,56055000.0,99999.0,Extraterritorial organizations and bodies,"PLOT NO 786/2, 40 SHED AREAGIDC  ",ROC AHMEDABAD,hinafil@gmail.com,31-03-2016,31-03-2016
L99999GJ1992PLC018626,LAFFANS PETROCHEMICALS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,27-11-1992,Gujarat,110000000.0,80000000.0,99999.0,Extraterritorial organizations and bodies,"SHED NO.C1B/316GIDC PANOLI,  ",ROC AHMEDABAD,lplho@laffanspetrochemical.com,31-03-2019,31-03-2019
L99999GJ1993PLC019296,VOLGA AIR TECHNICS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,16-04-1993,Gujarat,90000000.0,81275000.0,99999.0,Extraterritorial organizations and bodies,"PLOT NO.472 & 478, VILLEGECHANGODARA, TA. SANAND,DIST.AHMEDABAD.  ",ROC AHMEDABAD,volgaair@gmail.com,31-03-2014,31-03-2014
L99999GJ1993PLC020939,SOFTRAK VENTURE INVESTMENT LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,24-12-1993,Gujarat,451000000.0,450779000.0,99999.0,Extraterritorial organizations and bodies,"201, Moon Light Shopping Centre,Nr. Maruti Towers, Drive in Road, Memnagar,  ",ROC AHMEDABAD,softrakventure@gmail.com,31-03-2019,31-03-2018
L99999GJ1994PLC022000,ACIL COTTON INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,06-05-1994,Gujarat,230000000.0,221630000.0,99999.0,Extraterritorial organizations and bodies,"B 1 SADGURU COMPLEX,NEAR RUPAL PARK, GOTRI ROAD  ",ROC AHMEDABAD,investor.relations@acilcottonind.com,31-03-2018,31-03-2018
L99999GJ1994PLC022932,UNJHA FORMULATIONS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,02-09-1994,Gujarat,100000000.0,44805000.0,99999.0,Extraterritorial organizations and bodies,"KHALI CHAR RASTA,STATE HIGHWAY,TAL-SIDHPUR,PATAN  ",ROC AHMEDABAD,info@unjhaformulations.com,31-03-2019,31-03-2019
U99000GJ1995PTC026348,APEX FLUIDOMATICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-06-1995,Gujarat,60000000.0,14029000.0,99000.0,Extraterritorial organizations and bodies,1216/39 GIDC PHASE IVNARODA   ,ROC AHMEDABAD,fluidomatics@gmail.com,31-03-2019,31-03-2019
U99000GJ2006PLC111414,ENTRUST ENVIRONMENT LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,19-04-2006,Gujarat,60000000.0,500000.0,99000.0,Extraterritorial organizations and bodies,"203, 3rd Floor Concorde Building,Opp. Bharat Petrol Pump, Alkapuri, R.C. Dutt Road,  ",ROC AHMEDABAD,tgepl@tatvaglobal.com,31-03-2019,31-03-2019
U99000GJ2012PLC071683,SHRI JIVANREKHA RESEARCH & MARKETINGLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,24-08-2012,Gujarat,500000.0,500000.0,99000.0,Extraterritorial organizations and bodies,"OFFICE NO 315-318, 3RD FLOOR, SUPER MALL-2INFOCITY, S. G. HIGHWAY, NR GH- 0 CIRCLE  ",ROC AHMEDABAD,jivanrekha74@gmail.com,31-03-2017,31-03-2017
U99999GJ1932PLC000727,SHRI AMARSINHJI STATIONERY INDUSTRIESLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,02-11-1932,Gujarat,17400000.0,4000000.0,99999.0,Extraterritorial organizations and bodies,STATION ROADWANKANER  ,ROC AHMEDABAD,secretarial@kores-india.com,31-03-2019,31-03-2019
U99999GJ1939PTC000143,SADRAWALA BROTHERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-12-1939,Gujarat,100000.0,100000.0,99999.0,Extraterritorial organizations and bodies,38/5 SHETH'S POLERATANPOLEAHMEDABAD  ,ROC AHMEDABAD,realtysanjay502@gmail.com,31-03-2019,31-03-2019
U99999GJ1943PTC000369,JAYESH BOBBIN WORKS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-06-1943,Gujarat,200000.0,100000.0,99999.0,Extraterritorial organizations and bodies,"NEAR POWER HOUSE,OPP. STATION, KALOL.   ",ROC AHMEDABAD,jbwpvtltd@gmail.com,31-03-2019,31-03-2019
U99999GJ1946PLC000231,NADIAD SAFE DEPOSIT VAULT COMPANYLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,26-06-1946,Gujarat,700000.0,608750.0,99999.0,Extraterritorial organizations and bodies,SANTH PIPLI   ,ROC AHMEDABAD,nadiadsafedepositvault@gmail.com,31-03-2019,31-03-2019
U99999GJ1947PTC000766,JAYANT CHEMICALS WORKS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,14-03-1947,Gujarat,500000.0,100000.0,99999.0,Extraterritorial organizations and bodies,"STATION ROAD, VARTEJ, DISTT.BARODA.   ",ROC AHMEDABAD,mehtark69@rediffmail.com,31-03-2019,31-03-2019
U99999GJ1950PTC000510,SHREE KRISHNA ROLLER FLOOR MILLS PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,29-03-1950,Gujarat,18000000.0,18000000.0,99999.0,Extraterritorial organizations and bodies,"37/A,;G.I.D.C.,PHASE-IOPP.CORRONATION WEIGH BRIDGE, VATVA  ",ROC AHMEDABAD,amritbesan@yahoo.co.in,31-03-2019,31-03-2019
U99999GJ1955PTC000579,NEW VINSTAR SEQUINS PRIVATE LIMITED   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,24-04-1955,Gujarat,2000000.0,2000000.0,99999.0,Extraterritorial organizations and bodies,"ANAND BHAWAN, SONI FALIA,WAGHESHWARI POLE, SURAT.   ",ROC AHMEDABAD,newvinstarsequins@gmail.com,31-03-2019,31-03-2019
U99999GJ1960PLC001006,TENSILE STEEL LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,28-11-1960,Gujarat,30000000.0,21000000.0,99999.0,Extraterritorial organizations and bodies,"HIRABAG, VISHWAMITRI RD.,BARODA.   ",ROC AHMEDABAD,tensile.stl@gmail.com,31-03-2018,31-03-2018
U99999GJ1960PTC084300,DURATEX LABORATORIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-07-1960,Gujarat,2000000.0,1600000.0,99999.0,Extraterritorial organizations and bodies,"C/3, SWAMI VIVEKANANDNAGAR, C H SOC LTD1ST FLOOR, S M ROAD, AMBAWADI  ",ROC AHMEDABAD,infoduratex@gmail.com,31-03-2019,31-03-2019
U99999GJ1961PTC001025,STAN REL PRIVATE LIMITED   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,12-01-1961,Gujarat,500000.0,200000.0,99999.0,Extraterritorial organizations and bodies,"INDUSTRIAL AREA, PRATAP NAGAR,   ",ROC AHMEDABAD,sja.08@yahoo.com,31-03-2019,31-03-2019
U99999GJ1961PTC001390,DEVARSONS INDUSTRIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-06-1961,Gujarat,40000000.0,8496000.0,99999.0,Extraterritorial organizations and bodies,"441, GIDC IND.ESTATE, ODHAV,AHMEDABAD. 382 415   ",ROC AHMEDABAD,dvrdata@yahoo.com,31-03-2019,31-03-2019
U99999GJ1966NPL001408,GUJARAT URBAN HOUSING COMPANY   ,ACTV,Public,Company limited by Shares,Non-govt company,17-08-1966,Gujarat,5000000.0,35900.0,99999.0,Extraterritorial organizations and bodies,BHAILAL AMIN MARG   ,ROC AHMEDABAD,drigesh.mittal@alembic.co.in,31-03-2019,31-03-2019
U99999GJ1970SGC001818,GUJARAT SHEEP AND WOOL DEVELOPMENTCORPORATION LIMITED  ,ACTV,Public,Company limited by Shares,State Govt company,09-12-1970,Gujarat,50000000.0,43136000.0,99999.0,Extraterritorial organizations and bodies,"BLOCK NO.18,5TH FLOORUDYOG BHAVAN SECTOR-11  ",ROC AHMEDABAD,gswdcgandhinagar@yahoo.com,31-03-2018,31-03-2018
U99999GJ1971PTC109282,AMARDEEP CHEMICALS INDUSTRIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,22-09-1971,Gujarat,10000000.0,10000000.0,99999.0,Extraterritorial organizations and bodies,"A/2/8, Phase I, Behind UPLVPI/013, Vapi East  ",ROC AHMEDABAD,ho@amardeepchemical.com,31-03-2019,31-03-2019
U99999GJ1972PTC002144,COOLINE MANUFACTURERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-08-1972,Gujarat,10000000.0,6000000.0,99999.0,Extraterritorial organizations and bodies,"31, GIDC INDUSTRIAL ESTATE,VATWA  ",ROC AHMEDABAD,acc.cooline@gmail.com,31-03-2019,31-03-2019
U99999GJ1972PTC057315,FLUORESCENT CHEMICAL INDUSTRIES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-06-1972,Gujarat,2500000.0,2400000.0,99999.0,Extraterritorial organizations and bodies,"311, G I D CNEAR LAFFANS CHEMICALS  ",ROC AHMEDABAD,fluorescentpanoli@yahoo.com,31-03-2019,31-03-2019
U99999GJ1974SGC002635,GUJARAT STATE CONSTRUCTION CORPORATIONLIMITED  ,ACTV,Public,Company limited by Shares,State Govt company,16-12-1974,Gujarat,50000000.0,50000000.0,99999.0,Extraterritorial organizations and bodies,"G-1, 201/1, SECTOR-30, GANDHINAGAR   ",ROC AHMEDABAD,arvindg_cs@yahoo.com,31-03-2016,31-03-2016
U99999GJ1975PTC002852,ARSH INDUSTRIALS & INVESTMENTS PRIVATELIMITED  ,ACTV,Private,Company Limited by Guarantee,Non-govt company,22-11-1975,Gujarat,500000.0,210000.0,99999.0,Extraterritorial organizations and bodies,"204, Ambience Tower, Judges Bunglow Road,Bodakdev, Vastrapur,  ",ROC AHMEDABAD,samajfinance@gmail.com,31-03-2019,31-03-2019
U99999GJ1976PTC018945,INOX INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-12-1976,Gujarat,200000000.0,90763500.0,99999.0,Extraterritorial organizations and bodies,"9TH FLOOR, K P PLATINA,RACECOURSE  ",ROC AHMEDABAD,SAMDANISHAHABD@GMAIL.COM,31-03-2019,31-03-2019
U99999GJ1977PTC002985,KARNATAKA JEWELS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-02-1977,Gujarat,100000000.0,22500000.0,99999.0,Extraterritorial organizations and bodies,"C/o, Kirit D. Asodiya, Block No. 9/97,Lalbahadur Shastri Apartments, Bapunagar,  ",ROC AHMEDABAD,ketan@indoswissltd.com,31-03-2017,31-03-2018
U99999GJ1978PTC003237,ZADOK PHARMACEUTICALS PRIVATE LIMITED   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,27-11-1978,Gujarat,2400000.0,1500000.0,99999.0,Extraterritorial organizations and bodies,"PARSH, 1ST FLOOR, ROOM NO. 106,LUNSIKUI,  ",ROC AHMEDABAD,zadokpharma@gmail.com,31-03-2019,31-03-2019
U99999GJ1979PTC111440,D.S. SCREENS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-01-1979,Gujarat,1000000.0,900300.0,99999.0,Extraterritorial organizations and bodies,"Flat No. 55, Atodara Madhav Ind Est,Olpad, Surat.  ",ROC AHMEDABAD,Parth.joshi@hindustanwiremesh.com,31-03-2019,31-03-2019
U99999GJ1980PLC057731,KANDLA HAND TOOLS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,30-06-1980,Gujarat,7000000.0,5796500.0,99999.0,Extraterritorial organizations and bodies,"Mezzanine Floor, CIFCO Centre, Opp.Electric House,Lal Darwaja, Relief Road,  ",ROC AHMEDABAD,2011agfa@gmail.com,31-03-2016,31-03-2015
U99999GJ1980PTC003652,PAREKH CABLES PVT LTD   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,04-02-1980,Gujarat,500000.0,475000.0,99999.0,Extraterritorial organizations and bodies,"A-1/171,G.I.D.C.,ANKLESHWAR-393 002   ",ROC AHMEDABAD,admin@langalia.com,31-03-2010,31-03-2010
U99999GJ1982PTC005308,REUNION RUBBER WORKS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,06-07-1982,Gujarat,2500000.0,2250000.0,99999.0,Extraterritorial organizations and bodies,"A/2 5702 GIDC INDUSTRIALESTATE ANKLESHWAR,DIST.BHARUCH  ",ROC AHMEDABAD,unnijoseph75@gmail.com,31-03-2019,31-03-2019
U99999GJ1984PTC007016,NIJRANG ENTERPRISE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-06-1984,Gujarat,2000000.0,1562400.0,99999.0,Extraterritorial organizations and bodies,"CORNER COMPLEX, 2ND FLOOR,NR.NEHRU NAGAR CIRCLE,SATELITE ROAD, SATELITE,  ",ROC AHMEDABAD,nirlep.patel@gmail.com,31-03-2019,31-03-2019
U99999GJ1984PTC007314,ASIA BULK SACKS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-10-1984,Gujarat,150000000.0,146700000.0,99999.0,Extraterritorial organizations and bodies,"Survey No. 211 & 214, Irana Road,   ",ROC AHMEDABAD,accounts@asiabulksacks.com,31-03-2019,31-03-2019
U99999GJ1984PTC007386,LATIN RASAYANI PVT.LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,22-10-1984,Gujarat,3100000.0,2011900.0,99999.0,Extraterritorial organizations and bodies,"4/21, .B. I. D. C. INDUSTRIAL ESTATEGORWA  ",ROC AHMEDABAD,accounts@reckondiagnostics.com,31-03-2019,31-03-2019
U99999GJ1985PLC007617,TRIBHUVAN RASAYAN LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,01-02-1985,Gujarat,70000000.0,1780100.0,99999.0,Extraterritorial organizations and bodies,"1/14, GIDC,   ",ROC AHMEDABAD,tribhuvanrasayan@gmail.com,31-03-2006,31-03-2006
U99999GJ1985PLC109970,NOBLETEX INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,15-05-1985,Gujarat,50000000.0,43600000.0,99999.0,Extraterritorial organizations and bodies,"SURVEY NO. 267,BLOCKNO.309,BALESHWAR,PALSANA,  ",ROC AHMEDABAD,nobletex@drdcs.net,31-03-2019,31-03-2019
U99999GJ1985PTC007918,LIBERTY FINANCE AND LEASING COMPANYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,26-06-1985,Gujarat,8000000.0,7500000.0,99999.0,Extraterritorial organizations and bodies,"PLOT NO.129/130,OPP.JAYANTILAL PARK,AMBLI-BOPAL ROAD,TAL-DASKROI,  ",ROC AHMEDABAD,roc21mca@gmail.com,31-03-2019,31-03-2019
U99999GJ1986PTC008452,SAIENS BIOPHARMA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-02-1986,Gujarat,5000000.0,100000.0,99999.0,Extraterritorial organizations and bodies,"2/1- UPVAN VILLA BUNGALOWSBASANT BAHAR ROAD, BOPAL  ",ROC AHMEDABAD,parvej@saiens.in,31-03-2019,31-03-2019
U99999GJ1986PTC008894,ATLAS ORGANICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-08-1986,Gujarat,12500000.0,11778000.0,99999.0,Extraterritorial organizations and bodies,"6II ND FLOOR ELLIS BRIDGESHOPPING CENTRE OPP TOWNHALL, ,AHMEDBAD-6.  ",ROC AHMEDABAD,atlasorganics@yahoo.com,31-03-2019,31-03-2019
U99999GJ1986PTC009267,KISHAN REFRACTORIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-12-1986,Gujarat,55000000.0,28868000.0,99999.0,Extraterritorial organizations and bodies,"402,GURUKRUPA TOWERMOTI TANKI CHOWK  ",ROC AHMEDABAD,kishanrefractoriespvtltd@gmail.com,31-03-2019,31-03-2019
U99999GJ1986PTC083811,AARKAY PAINTS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,05-09-1986,Gujarat,1000000.0,800000.0,99999.0,Extraterritorial organizations and bodies,"Shed No. J-758/1.,GIDC, Vapi  ",ROC AHMEDABAD,fstripathi_aarkaypaints@yahoo.co.in,31-03-2019,31-03-2019
U99999GJ1987PTC010013,COMPACK PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-09-1987,Gujarat,1000000.0,926000.0,99999.0,Extraterritorial organizations and bodies,"231,GIDC ,Waghodia, Dist., Vadodara  ",ROC AHMEDABAD,gaurang@compack.in,31-03-2019,31-03-2019
U99999GJ1987PTC010025,KAVERI SILK MILLS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-10-1987,Gujarat,17500000.0,15404000.0,99999.0,Extraterritorial organizations and bodies,"L-2648, Upper Ground Floor,Millennium Textile Market, Ring Road,  ",ROC AHMEDABAD,kaverismpl@yahoo.com,31-03-2019,31-03-2019
U99999GJ1987PTC010195,MAYFAIR CLINICAL EDUCATION AND RESEARCHCENTRE PVT. LTD.  ,ACTV,Private,Company limited by Shares,Non-govt company,16-12-1987,Gujarat,4600000.0,4600000.0,99999.0,Extraterritorial organizations and bodies,"6,ADITYA BUNGLOWS ,NEAR SAL HOSPITAL, THALTEJ  ",ROC AHMEDABAD,kecl@kalthiagroup.com,31-03-2018,31-03-2018
U99999GJ1988GAT011227,BAHAR GYMKHANA PRIVATE LIMITED   ,ACTV,Private,Company Limited by Guarantee,Guarantee and Association comp,09-09-1988,Gujarat,0.0,0.0,99999.0,Extraterritorial organizations and bodies,"RAOPURA MACHHIPITH,5/51-5/52,BARODA   ",ROC AHMEDABAD,sm5187875@gmail.com,31-03-2019,31-03-2019
U99999GJ1988PLC011344,NITIN CONSTRUCTIONS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,10-10-1988,Gujarat,10000000.0,5500000.0,99999.0,Extraterritorial organizations and bodies,"2nd Floor, Navneet Plaza,Nr. Navrangpura Municipal Market, C.G. Road,  ",ROC AHMEDABAD,ncl1221@yahoo.in,31-03-2018,31-03-2018
U99999GJ1988PTC010342,FLUORO PLAST PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,08-02-1988,Gujarat,1000000.0,1000000.0,99999.0,Extraterritorial organizations and bodies,"OPP. SHIPKI APTS. NR SANJIVANIHOSPITALNEW SARDAMANDIR ROAD, AHMEDABAD-7.  ",ROC AHMEDABAD,vishal_mjvca@yahoo.com,31-03-2009,31-03-2009
U99999GJ1988PTC010880,JWALA POLYPLAST ENGINEERS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-06-1988,Gujarat,1000000.0,982000.0,99999.0,Extraterritorial organizations and bodies,"PLOT NO. 4710, SARIGAM G I D CPLASTIK ZONE, VIA : BHILAD  ",ROC AHMEDABAD,jwalapolyplast@gmail.com,31-03-2019,31-03-2019
U99999GJ1988PTC011287,MANORAMYA RESORTS AND HOTELS PVT LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,26-09-1988,Gujarat,10000000.0,100200.0,99999.0,Extraterritorial organizations and bodies,"SHREE RAM HOUSEOPP. MAYOR'S BUNGLOW, LAW GARDEN  ",ROC AHMEDABAD,prakashbhaisharma@yahoo.com,31-03-2019,31-03-2019
U99999GJ1988PTC084656,NAKODA SYN-TEX PVT.LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,21-07-1988,Gujarat,5000000.0,4643300.0,99999.0,Extraterritorial organizations and bodies,"Block No.1 & 12 to 16, Village Karanj,Taluka Mandvi,  ",ROC AHMEDABAD,nakoda.syntex@gmail.com,31-03-2019,31-03-2019
U99999GJ1989GAT012144,BARODA SPORTS AND SOCIAL CLUB PVT. LTD.   ,ACTV,Private,Company Limited by Guarantee,Guarantee and Association comp,20-04-1989,Gujarat,0.0,0.0,99999.0,Extraterritorial organizations and bodies,"C-8/101, GITAMANDIR ROAD,BEHIND HANDLOOM HOUSEBARODA  ",ROC AHMEDABAD,admin@langalia.com,31-03-2011,31-03-2011
