CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
U95000KA2017PTC101400,SANSITA JEEVANA PRIVATE LIMITED,Active,RoC-Bangalore,101400,Company limited by Shares,Non-govt company,Private,16 March 2017,"5 years, 0 month, 7 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000KA2018PTC111279,G7 SURVEILLANCES AND SECURITIES PRIVATE LIMITED,Active,RoC-Bangalore,111279,Company limited by Shares,Non-govt company,Private,16 March 2018,"4 years, 0 month, 7 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U96000KA2016PTC093974,RESHEZ INDIA PRIVATE LIMITED,Active,RoC-Bangalore,93974,Company limited by Shares,Non-govt company,Private,09 June 2016,"5 years, 9 month, 14 days","Undifferenciated goods-producing activities of private households for own use. [Includes the undifferenciated subsistence goods-producing activities of households, that is the activities of households, that are engaged in a variety of activities that produce goods for their own subsistence. These activities include hunting and gathering, farming, the production of shelter and clothing and other goods produced by the household for its own subsistence. In application, if household are also engaged in the production of marketed goods, they are classified to the appropriate goods-producing industries of ISIC. If they are principally engaged in a specific goods-producing subsistence activity, they are classified to the appropriate goods-producing industry of NIC}
Click here to see other companies involved in same activity.",-
U97000KA2013PTC070760,PITHOO ART & CRAFT SOLUTIONS PRIVATE LIMITED,Active,RoC-Bangalore,70760,Company limited by Shares,Non-govt company,Private,29 August 2013,"8 years, 6 month, 25 days","Undifferenciated service-producing activities of private households for own use. [Includes the undifferenciated subsistence. [Includes the undifferenciated subsistence service-producing activities of households. These activities include cooking, teaching, caring for household members and other services produced by the household for its own subsistence. In application, if households are also engaged in the production of multiple goods for subsistence purposes, they are classified to the undifferenciated subsistence service-producing activities of households.]
Click here to see other companies involved in same activity.",-
U97000KA2017PTC106594,TASKIEVERS DELIVERY AND SERVICES PRIVATE LIMITED,Active,RoC-Bangalore,106594,Company limited by Shares,Non-govt company,Private,21 September 2017,"4 years, 6 month, 2 days","Undifferenciated service-producing activities of private households for own use. [Includes the undifferenciated subsistence. [Includes the undifferenciated subsistence service-producing activities of households. These activities include cooking, teaching, caring for household members and other services produced by the household for its own subsistence. In application, if households are also engaged in the production of multiple goods for subsistence purposes, they are classified to the undifferenciated subsistence service-producing activities of households.]
Click here to see other companies involved in same activity.",-
U95000MP2003PLC016252,SHAPPERS MEGA VENTURES LIMITED,Active,RoC-Gwalior,16252,Company limited by Shares,Non-govt company,Public,12 December 2003,"18 years, 3 month, 11 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000MP2014PTC032955,PROSPEROUS INDIVIDUAL MANPOWER SERVICES PRIVATE LIMITED,Under Process of Striking Off,RoC-Gwalior,32955,Company limited by Shares,Non-govt company,Private,23 July 2014,"7 years, 8 month, 0 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000MP2017OPC043704,SOM SINGH SURAKSHA AGENCY (OPC) PRIVATE LIMITED,Active,RoC-Gwalior,43704,Company limited by Shares,Non-govt company,Private(One Person Company),11 July 2017,"4 years, 8 month, 12 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U97000AS2017PTC018208,REDO TIMES PRIVATE LIMITED,Active,RoC-Shillong,18208,Company limited by Shares,Non-govt company,Private,02 November 2017,"4 years, 4 month, 21 days","Undifferenciated service-producing activities of private households for own use. [Includes the undifferenciated subsistence. [Includes the undifferenciated subsistence service-producing activities of households. These activities include cooking, teaching, caring for household members and other services produced by the household for its own subsistence. In application, if households are also engaged in the production of multiple goods for subsistence purposes, they are classified to the undifferenciated subsistence service-producing activities of households.]
Click here to see other companies involved in same activity.",-
U95000JH2017PTC009641,XPERTSOL SERVICES PRIVATE LIMITED,Active,RoC-Jharkhand,9641,Company limited by Shares,Non-govt company,Private,15 February 2017,"5 years, 1 month, 8 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000TN2018PTC122436,ARS BLUE LEAF FACILITY AND MANAGEMENT SERVICES PRIVATE LIMITED,Active,RoC-Chennai,122436,Company limited by Shares,Non-govt company,Private,02 May 2018,"3 years, 10 month, 21 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000TZ1983PTC001270,COIMBATORE SECURITY PRIVATE LIMITED,Active,RoC-Coimbatore,1270,Company limited by Shares,Non-govt company,Private,15 April 1983,"38 years, 11 month, 8 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000TZ1984PTC001501,SRI BHUVANESWARI SECURITY SERVICES PRIVATE LIMITED,Active,RoC-Coimbatore,1501,Company limited by Shares,Non-govt company,Private,20 October 1984,"37 years, 5 month, 3 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000TZ1997PTC007723,FAUJI SECURITY SERVICES PRIVATE LIMITED,Active,RoC-Coimbatore,7723,Company limited by Shares,Non-govt company,Private,19 February 1997,"25 years, 1 month, 4 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U96000TN2008FTC069261,WATERMAN CONSULTING ENGINEERS INDIA PRIVATE LIMITED,Active,RoC-Chennai,69261,Company limited by Shares,Subsidiary of Foreign Company,Private,12 September 2008,"13 years, 6 month, 11 days","Undifferenciated goods-producing activities of private households for own use. [Includes the undifferenciated subsistence goods-producing activities of households, that is the activities of households, that are engaged in a variety of activities that produce goods for their own subsistence. These activities include hunting and gathering, farming, the production of shelter and clothing and other goods produced by the household for its own subsistence. In application, if household are also engaged in the production of marketed goods, they are classified to the appropriate goods-producing industries of ISIC. If they are principally engaged in a specific goods-producing subsistence activity, they are classified to the appropriate goods-producing industry of NIC}
Click here to see other companies involved in same activity.",-
U96000TN2008PTC069464,ARUNA SAFETY LOCKERS PRIVATE LIMITED,Active,RoC-Chennai,69464,Company limited by Shares,Non-govt company,Private,03 October 2008,"13 years, 5 month, 20 days","Undifferenciated goods-producing activities of private households for own use. [Includes the undifferenciated subsistence goods-producing activities of households, that is the activities of households, that are engaged in a variety of activities that produce goods for their own subsistence. These activities include hunting and gathering, farming, the production of shelter and clothing and other goods produced by the household for its own subsistence. In application, if household are also engaged in the production of marketed goods, they are classified to the appropriate goods-producing industries of ISIC. If they are principally engaged in a specific goods-producing subsistence activity, they are classified to the appropriate goods-producing industry of NIC}
Click here to see other companies involved in same activity.",-
U97000TN2008PTC066247,JACOB INSPECTION SERVICES PRIVATE LIMITED,Active,RoC-Chennai,66247,Company limited by Shares,Non-govt company,Private,31 January 2008,"14 years, 1 month, 23 days","Undifferenciated service-producing activities of private households for own use. [Includes the undifferenciated subsistence. [Includes the undifferenciated subsistence service-producing activities of households. These activities include cooking, teaching, caring for household members and other services produced by the household for its own subsistence. In application, if households are also engaged in the production of multiple goods for subsistence purposes, they are classified to the undifferenciated subsistence service-producing activities of households.]
Click here to see other companies involved in same activity.",-
L95910DL1989PLC035423,BIG STAR FILMS LTD,Active,RoC-Delhi,35423,Company limited by Shares,Non-govt company,Public,10 March 1989,"33 years, 0 month, 13 days","ACTIVITIES OF PRIVATE HOUSEHOLDS AS EMPLOYERS OF DOMESTIC STAFF
Click here to see other companies involved in same activity.",-
U95000DL1999PTC102766,PERFECT DETECTIVE AND SECURITY SERVICES PRIVATE LIMITED,Active,RoC-Delhi,102766,Company limited by Shares,Non-govt company,Private,10 December 1999,"22 years, 3 month, 13 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC105667,KESARI SECURITY PRIVATE LIMITED,Active,RoC-Delhi,105667,Company limited by Shares,Non-govt company,Private,12 May 2000,"21 years, 10 month, 11 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC106257,SWASTIK RIBBONS PRIVATE LIMITED,Active,RoC-Delhi,106257,Company limited by Shares,Non-govt company,Private,13 June 2000,"21 years, 9 month, 10 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC106269,BADOTHERM INSTRUMENTS HOLLAND PRIVATE LIMITED.,Active,RoC-Delhi,106269,Company limited by Shares,Non-govt company,Private,14 June 2000,"21 years, 9 month, 9 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC106645,KINGDOM PROTECTION SERVICES PRIVATE LIMITED,Active,RoC-Ernakulam,68303,Company limited by Shares,Non-govt company,Private,06 July 2000,"21 years, 8 month, 17 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC106715,PARAMAHANSA HOLDINGS PRIVATE LIMITED,Active,RoC-Delhi,106715,Company limited by Shares,Non-govt company,Private,11 July 2000,"21 years, 8 month, 12 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC106794,TWENTY FOUR SYSTEMS PRIVATE LIMITED,Active,RoC-Delhi,106794,Company limited by Shares,Non-govt company,Private,14 July 2000,"21 years, 8 month, 9 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107120,AYE-ONE MANAGEMENT ( S&C) PRIVATE LIMITED,Active,RoC-Delhi,107120,Company limited by Shares,Non-govt company,Private,03 August 2000,"21 years, 7 month, 20 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107128,SSB SURAKSHA SEWA PRIVATE LIMITED,Active,RoC-Delhi,107128,Company limited by Shares,Non-govt company,Private,03 August 2000,"21 years, 7 month, 20 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107193,JWALA SAGAR CONSULTANTS PRIVATE LIMITED,Active,RoC-Delhi,107193,Company limited by Shares,Non-govt company,Private,09 August 2000,"21 years, 7 month, 14 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107502,MUSKETEERS SECURITY PRIVATE LIMITED,Active,RoC-Delhi,107502,Company limited by Shares,Non-govt company,Private,04 September 2000,"21 years, 6 month, 19 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107754,G4S CENTRAL MONITORING SERVICES (INDIA) PRIVATE LIMITED.,Active,RoC-Delhi,107754,Company limited by Shares,Non-govt company,Private,15 September 2000,"21 years, 6 month, 8 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107795,GROUP-2 SECURITAN PRIVATE LIMITED,Active,RoC-Delhi,107795,Company limited by Shares,Non-govt company,Private,19 September 2000,"21 years, 6 month, 4 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC107929,ROMA HENNY SECURITY SERVICE PRIVATE LIMITED,Active,RoC-Delhi,107929,Company limited by Shares,Non-govt company,Private,27 September 2000,"21 years, 5 month, 26 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2000PTC108028,NEW ERA INDIA CONSULTANCY PRIVATE LIMITED,Active,RoC-Delhi,108028,Company limited by Shares,Non-govt company,Private,05 October 2000,"21 years, 5 month, 18 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
U95000DL2007PTC165860,CAT AUTOMOTIVES PRIVATE LIMITED,Active,RoC-Delhi,165860,Company limited by Shares,Non-govt company,Private,16 July 2007,"14 years, 8 month, 7 days","Activities of private households as employers of domestic staff. [Includes the activities of private households as employers of domestic personnel such as maids, cooks, waiter, valets butlers, laundresses, gardeners, gate-keepers, stable-lads, chauffeurs, care-takers, governesses, babysitters, tutors, secretaries etc. It allows the domestic personal employed to state the activity of their employer in censuses or studies, even though the employer is an individual. The product, which is self consumed, is considered non-market and assessed according to the cost of personnel in the national account. These services can not be provided by companies.
Click here to see other companies involved in same activity.",-
