CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U95000MP2017OPC043704,SOM SINGH SURAKSHA AGENCY (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,11-07-2017,Madhya Pradesh,100000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"152, Madhani Gali, Royal Pathology Lab,Maharani Laxmi Bai Ward, Civil Lines,  ",ROC GWALIOR,hsschouhan2@gmail.com,31-03-2019,31-03-2019
U97000AS2017PTC018208,REDO TIMES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-11-2017,Assam,100000.0,100000.0,97000.0,Activities of private households as employers and undifferentiated production activities of private households,"Suraja Choudhary, Sarla Mohan ResidencyWard No 26, Mouza - Beltola, Dispur  ",ROC SHILLONG,arpan.choudhary@gmail.com,31-03-2019,31-03-2019
U95000JH2017PTC009641,XPERTSOL SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-02-2017,Jharkhand,1000000.0,100000.0,95000.0,Activities of private households as employers and undifferentiated production activities of private households,"HOUSE NO.02, JEETA SINGHBAGAN,NAMDA BASTI,GOLMURI  ",ROC JHARKHAND,services@xpertsservices.com,31-03-2019,31-03-2019
U95000TN2018PTC122436,ARS BLUE LEAF FACILITY AND MANAGEMENTSERVICES PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-05-2018,Tamil Nadu,600000.0,600000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"No.8, S.F, Srinivasa PuramShastri Road, Thennur  ",ROC CHENNAI,arsblueleaf@gmail.com,31-03-2019,31-03-2019
U95000TZ1983PTC001270,COIMBATORE SECURITY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-04-1983,Tamil Nadu,500000.0,101000.0,95000,Activities of private households as employers and undifferentiated production activities of private households," 317, GOPL BAGHAVANASHI ROAD  ",ROC COIMBATORE,info@gedeegroup.com,31-03-2019,31-03-2019
U95000TZ1984PTC001501,SRI BHUVANESWARI SECURITY SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,20-10-1984,Tamil Nadu,500000.0,495000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"New No: 20, Old Number: 22, Govindaswami Layout,Sivanandha Colony  ",ROC COIMBATORE,info@warriorfms.com,31-03-2019,31-03-2019
U95000TZ1997PTC007723,FAUJI SECURITY SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-02-1997,Tamil Nadu,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,B2 HUDCO COLONYV K ROADPEELAMEDU  ,ROC COIMBATORE,s_jeyaraman@yahoo.com,31-03-2017,31-03-2017
U96000TN2008FTC069261,WATERMAN CONSULTING ENGINEERS INDIAPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,12-09-2008,Tamil Nadu,5000000.0,5000000.0,96000,Activities of private households as employers and undifferentiated production activities of private households,"""Seshasaai"", 4/606, First Main RoadNehru Nagar, Kottivakkam  ",ROC CHENNAI,MMarilyn@watermanindia.com,31-03-2019,31-03-2019
U96000TN2008PTC069464,ARUNA SAFETY LOCKERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-10-2008,Tamil Nadu,700000.0,700000.0,96000,Activities of private households as employers and undifferentiated production activities of private households,106 FIRST FLOOR WOVOO MANSION NEW NO 48OLD NO 39 RAJAJI SALAI  ,ROC CHENNAI,arunasafechennai@yahoo.in,31-03-2019,31-03-2019
U97000TN2008PTC066247,JACOB INSPECTION SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,31-01-2008,Tamil Nadu,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"H-888, 22nd StreetAnna Nagar West  ",ROC CHENNAI,finance@global-remote.net,31-03-2019,31-03-2019
L95910DL1989PLC035423,BIG STAR FILMS LTD   ,ACTV,Public,Company limited by Shares,Non-govt company,10-03-1989,Delhi,32900000.0,16629000.0,95910.0,Activities of private households as employers and undifferentiated production activities of private households," E-97/7A, BENGALI  COLONYMAHAVIR ENCLAVE  ",ROC DELHI,srgltd@gmail.com,31-03-2009,31-03-2009
U95000DL1999PTC102766,PERFECT DETECTIVE AND SECURITY SERVICESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,10-12-1999,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,196-A CHAUPAL ROADBIJWASAN   ,ROC DELHI,perfect.detective@yahoo.in,31-03-2019,31-03-2019
U95000DL2000PTC105667,KESARI SECURITY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-05-2000,Delhi,500000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,B 53  FIRST FLOOR  BLOCK 14SECTOR 3 RAJIV RATAN AAWAS BAWANA DELHI 110039  ,ROC DELHI,yrs_chartered1999@yahoo.co.in,31-03-2019,31-03-2016
U95000DL2000PTC106257,SWASTIK RIBBONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-06-2000,Delhi,4000000.0,3950300.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"191/3, G/F, Gali No. 8, Than Singh Nagar,Anand Parbat  ",ROC DELHI,swastikribbon@yahoo.co.in,31-03-2019,31-03-2019
U95000DL2000PTC106269,BADOTHERM INSTRUMENTS HOLLAND PRIVATELIMITED.  ,ACTV,Private,Company limited by Shares,Non-govt company,14-06-2000,Delhi,5000000.0,3808000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"10/17, BASEMENT, NEHRU ENCLAVEKALKAJI  ",ROC DELHI,accounts@blissanand.com,31-03-2019,31-03-2019
U95000DL2000PTC106645,KINGDOM PROTECTION SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-07-2000,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"711, Jaina Tower II,District Centre, Janapuri  ",ROC DELHI,reji@kingdomindia.com,31-03-2019,31-03-2019
U95000DL2000PTC106715,PARAMAHANSA HOLDINGS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-07-2000,Delhi,17500000.0,16602000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"A-602, ANSAL CHAMBERS-IBHIKAJI CAMA PLACE  ",ROC DELHI,intoff@aol.com,31-03-2019,31-03-2019
U95000DL2000PTC106794,TWENTY FOUR SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-07-2000,Delhi,10000000.0,10000000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,5 MATHURA ROADJANGPURA A   ,ROC DELHI,support@24securenow.com,31-03-2018,31-03-2019
U95000DL2000PTC107120,AYE-ONE MANAGEMENT ( S&C) PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-08-2000,Delhi,200000.0,108000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"137 GROUND FLOOR, UDAY PARKKHEL GAON MARG  ",ROC DELHI,aye1m@rediffmail.com,31-03-2019,31-03-2019
U95000DL2000PTC107128,SSB SURAKSHA SEWA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-08-2000,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,VIDYA SAGAR APARTMENTFLAT NO 17 PLOT NO 34DWARKA  ,ROC DELHI,brajeshsingh_bs@yahoo.co.in,31-03-2019,31-03-2019
U95000DL2000PTC107193,JWALA SAGAR CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-08-2000,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,G-10ANAND NIKETAN  ,ROC DELHI,sssinghalandco@gmail.com,31-03-2019,31-03-2019
U95000DL2000PTC107502,MUSKETEERS SECURITY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-09-2000,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"107/3, HARI NAGAR,ASHRAM  ",ROC DELHI,musketeers_25@yahoo.co.in,31-03-2019,31-03-2019
U95000DL2000PTC107754,G4S CENTRAL MONITORING SERVICES (INDIA)PRIVATE LIMITED.  ,ACTV,Private,Company limited by Shares,Non-govt company,15-09-2000,Delhi,10000000.0,8000000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"C-16, Community CentreJanakpuri, Behind Janak Cinema  ",ROC DELHI,puja.jain@in.g4s.com,31-03-2019,31-03-2019
U95000DL2000PTC107795,GROUP-2 SECURITAN PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-09-2000,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"153, Munirka Enclave,Nelson Mandela Marg,  ",ROC DELHI,rakeshmehta084@gmail.com,31-03-2019,31-03-2019
U95000DL2000PTC107929,ROMA HENNY SECURITY SERVICE PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-09-2000,Delhi,19900000.0,11310000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"L-322, Mahipalpur,   ",ROC DELHI,roma.henny@yahoo.com,31-03-2019,31-03-2019
U95000DL2000PTC108028,NEW ERA INDIA CONSULTANCY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-10-2000,Delhi,50000000.0,16500000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"246, 2nd & 3rd Floor, Okhla Phase III,Swastik Building  ",ROC DELHI,koji.murata@neweraindia.com,31-03-2019,31-03-2019
U95000DL2007PTC165860,CAT AUTOMOTIVES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-07-2007,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"77/9/5B, AVDESH CHAUBEY WALI GALIMUKESH NAGAR,SHAHDARA  ",ROC DELHI,carameshgarg@yahoo.com,31-03-2019,31-03-2019
U95000DL2008PTC183955,BRENTFORD SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-10-2008,Delhi,500000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"KHASRA NO. 71, SECTOR -8VILLAGE & POST OFFICE- BAGROLA, DWARKA  ",ROC DELHI,surya@dss-hr.com,31-03-2019,31-03-2019
U95000DL2009PTC194317,UNISERVE MANAGEMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-09-2009,Delhi,1100000.0,150500.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"H.NO. 27, UPPER GROUND FLOOR, BLK-F PKT-19,SECTOR-8, ROHINI  ",ROC DELHI,RAJDHANIHANDLES@GMAIL.COM,31-03-2019,31-03-2019
U95000DL2011PTC215084,JANKI SECURITY SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-03-2011,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"51/1, SUNIL COLONY BURARI EXTN.,BURARI  ",ROC DELHI,taxmaster.singh@gmail.com,31-03-2019,31-03-2019
U95000DL2011PTC224022,JAIN FACILITY MANAGEMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-08-2011,Delhi,500000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"X/3034, Raghubarpura No. 2, Gali No. 5 G/FGandhi Nagar  ",ROC DELHI,jainfacility@casngargco.in,31-03-2019,31-03-2019
U95000DL2012PTC231311,SNOW PHOENIX TECHNOLOGY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-02-2012,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"H-51, 3rd FloorLajpat Nagar-1  ",ROC DELHI,mohit777teddy@gmail.com,31-03-2019,31-03-2019
U95000DL2012PTC235582,TOOKI SOLUTIONS SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-05-2012,Delhi,2500000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"4/16, GROUND FLOOR,SHANTI NIKETAN  ",ROC DELHI,nalin@teckinfo.in,31-03-2019,31-03-2019
U95000DL2012PTC236015,S&V MANAGEMENT SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-05-2012,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"HOUSE NO.3A, FIRST FLOOR,GALI NO.2WEST GURU ANGAD NAGAR, LAXMI NAGAR  ",ROC DELHI,svsuspl@gmail.com,31-03-2019,31-03-2019
U95000DL2013PTC248865,ATS SECURITY & HOUSEKEEPING SOLUTIONSPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-02-2013,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"A-96, GROUND FLOORASHOK NAGAR  ",ROC DELHI,lokesh.tyagi0@gmail.com,31-03-2018,31-03-2018
U95000DL2013PTC256587,MAGIC MOVEMENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-08-2013,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"ROOM NO. 104,F-13/11 DLF GREENSSector 24 Rohini  ",ROC DELHI,mahesh87555@gmail.com,31-03-2019,31-03-2019
U95000DL2015PTC277021,SHIV KUMAR MORYA DOMESTIC CONSULTANCYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-02-2015,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"H.No-A-7 F/F, B/P Amrit NagarK. M. Pur  ",ROC DELHI,shivkumarmorya1979@gmail.com,31-03-2019,31-03-2019
U95000DL2018PTC329069,FAIR FROST BUSINESS SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-02-2018,Delhi,100000.0,100000.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"HOUSE NO.189, 3RD FLOOR,VILLAGE DHAKA, PARMANAND COLONY  ",ROC DELHI,nidhivishnoi02@gmail.com,31-03-2019,31-03-2019
U95007DL1998PTC091592,COMPACT SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-01-1998,Delhi,1000000.0,675300.0,95007,Activities of private households as employers and undifferentiated production activities of private households,"G-11,14,15, GROUND FLOORANUPAM PLAZA, KALU SARAI HAUZKHAS  ",ROC DELHI,alokjain@compactups.com,31-03-2019,31-03-2019
U95201DL2002PTC113789,KUSHAGRA BUILDERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-01-2002,Delhi,1000000.0,141000.0,95201,Activities of private households as employers and undifferentiated production activities of private households,"S-160, Lower Ground FloorGreater Kailash Part 1  ",ROC DELHI,jaiswalvipra@gmail.com,31-03-2019,31-03-2019
U95201DL2003PTC122395,SMART REALTORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-09-2003,Delhi,100000.0,100000.0,95201,Activities of private households as employers and undifferentiated production activities of private households,5 E-BLOCK LOCAL SHOPPING CENTRMASJID MOTHGREATER KAILASH-II  ,ROC DELHI,info.smartrealtors@gmail.com,31-03-2019,31-03-2019
U95992DL1995PTC073615,SHATABADI CHITS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-11-1995,Delhi,500000.0,420000.0,95992,Activities of private households as employers and undifferentiated production activities of private households,M-103GURU HARKRISHAN NAGARPASCHIM VIHAR  ,ROC DELHI,jainonerj@yahoo.co.in,31-03-2010,31-03-2010
U95992DL2000PTC107914,DIVYA JYOTI CHIT FUND PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-09-2000,Delhi,500000.0,100000.0,95992,Activities of private households as employers and undifferentiated production activities of private households,R K HOUSE  W P-504IST FLOOR ROOM NO-106SHIV MARKET ASHOK VIHAR  ,ROC DELHI,bs_arora@hotmail.com,31-03-2019,31-03-2019
U96000DL2011PTC224086,KUSHAL KARYASHALA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-08-2011,Delhi,30000000.0,15000000.0,96000,Activities of private households as employers and undifferentiated production activities of private households,"No. 1, RAJ NAGAR ENCLAVE,PITAMPURA  ",ROC DELHI,999kkpl@gmail.com,31-03-2019,31-03-2019
U96000DL2018PTC331547,WANTI OVERSEAS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-03-2018,Delhi,1000000.0,1000000.0,96000,Activities of private households as employers and undifferentiated production activities of private households,WZ-106/55 GROUND FLOOR NEAR CAMBRIGSCHOOL RAJOURI GARDEN EXT  ,ROC DELHI,NAYARLAW@GMAIL.COM,31-03-2019,31-03-2019
U97000DL1998PTC094038,JAM SUPPORT SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-05-1998,Delhi,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"G-606,RASHMI APTS, HARSH VIHAR,PITAM PURA,  ",ROC DELHI,joselynmartins@yahoo.com,31-03-2019,31-03-2019
U97000DL2014PTC267284,R R EXPRESS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-03-2014,Delhi,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"2ND FLOOR, KHASRA NO.424, GALI NO.6MAHIPAL PUR EXT.  ",ROC DELHI,emailroc1@gmail.com,31-03-2019,31-03-2019
U97000DL2016PTC298112,AEROBIC KITCHEN EXPERT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,29-03-2016,Delhi,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"86-CPocket-F, Nand Nagri  ",ROC DELHI,mail@akekitchen.in,31-03-2019,31-03-2019
U97000DL2016PTC304723,STUDIO MEMONKEY DESIGNS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-08-2016,Delhi,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,WZ 1319NANGAL RAYA  ,ROC DELHI,lalitngupta@gmail.com,31-03-2019,31-03-2019
U97000DL2018PTC329213,WIPEME SMART SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-02-2018,Delhi,100000.0,100000.0,97000,Activities of private households as employers and undifferentiated production activities of private households,"A-23, 3RD FLOORAMAR COLONY, LAJPAT NAGAR -4  ",ROC DELHI,ra264458gandhi@gmail.com,31-03-2019,31-03-2019
U97120DL2000PTC103771,PREM CAPITAL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-02-2000,Delhi,2500000.0,1227000.0,97120,Activities of private households as employers and undifferentiated production activities of private households,"13/39, SHAKTI NAGAR   ",ROC DELHI,prem_capital@yahoo.in,31-03-2019,31-03-2019
U95000MH2001PTC132938,EMPOWER PERSONNEL SEARCH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2001,Maharashtra,5500000.0,5124500.0,95000,Activities of private households as employers and undifferentiated production activities of private households,"6-Floor -1 Plot 165,161/169 Hirachand Fulchand,Trust Building, Perin Nariman Street, Fort  ",ROC MUMBAI,verna.mudit@gmail.com,31-03-2019,31-03-2019
